Bac,Moyenne,Economie,Gestion,Math,HistoireGeographie,Anglais,Francais,Arabe,Philo,Info,Sport,Option,Code
3,12.88,14,17.5,8,9,17,11,11,6.75,17,17,3.5,11318
3,12.38,18.68,14,8,5,5,13,12,10,15,18,11,10318
3,11,10.5,13,9,8.5,15,13,12.75,9,19,19.5,14,22209
3,11.26,9.5,10,8,10,14,7,6,7,20,18,18,42318
3,11.64,12,6.5,12,13,14,13,12,8,12,18,18,22566
3,10.21,12,12,6,5,11,5,6,7,16.75,19.5,7,22312
3,10.96,10,15,7,8,14,10,9,11,0,18,12,30318
3,10.35,15.5,7,10,8,6,7,9,12,16,18,13,22312
3,9.65,10,12,10,5,16,8,4,6,9,18,10,37311
3,14,16,17,17.25,3,12,7,9,7,7,18.5,19,30318
3,13,13,17,15,10,16,8,5,8,16,10,8,30318
3,13.04,14.75,16.5,15,9,4.5,8.5,8.5,10.75,16,18.66,10.75,11301
3,12.45,12.5,15.75,10,8,12,10,6,10,18,19.75,12,11301
3,13.83,15.74,16,10,11.12,9,12,10,8.75,10,16.83,17.75,11301
3,11.04,7,12,12,3,13,9,13,7,17,19,17,30301
3,15.37,17.75,18.66,18.25,8,10.5,13,14.37,6.75,16.75,19.09,15,14311
3,15,16.62,19.62,15,6.37,16,10.5,13.5,8.5,15.75,19.83,14.5,14311
3,11,12,14,10,6.75,2,8,8,5.25,17,18.33,15.5,22318
3,11.86,12.5,15.68,12,6,9.5,7,11.75,7.85,12.5,17.5,13,10396
3,17.1,16.25,18.37,16.75,17.12,18,16.5,12.75,11,17,17,20,11301
3,10,9,13,15,6.5,3,5,10,8,16,18,8,22311
3,13.13,13.5,18,11,5,10,10,14,5,17,18,17,10312
3,12.92,11,18,12.5,8.5,10.5,10.5,11,7.5,14,17,10.5,41311
3,14.32,17,14.5,12.5,9,17,14,13,7,16,18,17.5,11301
3,13.25,12.75,18.5,13.75,6.5,10.25,10,10.12,4.5,17.75,19.75,18,15318
3,15.54,15,18,15,12,12,11,17,15,10,17,8,11301
3,9.21,13,12,11.75,8.2,1,4,9,4,11.5,9.21,11.5,70391
3,12.5,14,14,8,7,15,10,15,12,15,16,11,11301