Bac,Moyenne,Philo,Option,Arabe,HistoireGeographie,Anglais,Francais,PhiloIslamique,Info,Sport,Code
7,9.43,9.25,2,9.5,4.37,16,5,12.5,10,18,22102
7,13.46,12.75,17,8.75,12,15.25,17,13,17.12,18.73,11301
7,14.49,14,17.75,10.5,13.37,18.5,17,11.5,18,18,10301
7,14.02,11.5,19.5,12.5,12.75,14.5,14.5,17.5,18.75,18,10301
7,15.29,14.5,19,11.5,14.37,19.25,14.25,18.5,14.75,19,10301
7,15,14,19,13,15,16,15,13,17,18,10301
7,12.36,11.5,16.75,10,11.5,14,12,13.5,15.87,12,22102
7,13.78,13,16,12,8,12,11,13,13,16,10301
7,13.43,12,17.75,12,10.38,17,14.5,12.5,14,17,10301
7,14.5,14,16,11,17,16,16,15,14,19.12,10301
7,13.74,11.5,7.25,13.25,14.25,16.75,15.25,14.5,10,17.16,10301
7,15.69,18.5,19,11.75,14.5,15.69,15.25,16,16.25,18.33,10301
7,14,10,18.75,14,13,16,16,16,13,18,10301
7,13.03,14,14,13.5,9.75,12,13,13,15,16.5,10301
7,10.23,11.5,13,11,10,3,5,13,13,17,10301
7,13.68,12,17.75,9.5,13.37,18.75,13.25,13,15,19.58,10301
7,15.31,14.25,19.5,13,15.62,18.75,14,10,15.75,19.25,10301
7,14.31,11,12,12.5,15.75,19.75,14,15,12.25,14.31,10301
7,12.73,12,18,11.5,8,17,16,15,15.5,17,10301
7,10.13,10.5,14,11.75,7,3.5,6,12.25,12,19.19,10301
7,14.01,12.5,20,14.75,10.05,16.75,13.05,13.05,12.05,18.33,10301